date,seawinds_1,seawinds_2,seawinds_3
2003216,-69.7824,162.3825,1
2003217,-69.7824,162.3825,1
2003218,-69.7824,162.3825,1
2003219,-69.7824,162.3825,1
2003220,-69.7824,162.3825,1
2003221,-69.7824,162.3825,1
2003222,-69.7824,162.3825,1
2003223,-69.7824,162.3825,1
2003224,-69.7824,162.3825,1
2003225,-69.7824,162.3825,1
2003226,-69.7824,162.3825,1
2003227,-69.7824,162.3825,1
2003228,-69.7824,162.3825,1
2003229,-69.7824,162.3825,1
2003230,-69.7824,162.3825,1
2003231,-69.7824,162.3825,1
2003232,-69.7824,162.3825,1
2003233,-69.7824,162.3825,1
2003234,-69.7824,162.3825,1
2003235,-69.7824,162.3825,1
2003236,-69.7824,162.3825,1
2003237,-69.7824,162.3825,1
2003238,-69.7824,162.3825,1
2003239,-69.7824,162.3825,1
2003240,-69.7824,162.3825,1
2003241,-69.7824,162.3825,1
2003242,-69.7824,162.3825,1
2003243,-69.7824,162.3825,1
2003244,-69.7824,162.3825,1
2003245,-69.7824,162.3825,1
2003246,-69.7824,162.3825,1
2003247,-69.7824,162.3825,1
2003248,-69.7824,162.3825,0
2003249,-69.7824,162.3825,0
2003250,-69.7824,162.3825,0
2003251,-69.7824,162.3825,1
2003252,-69.7824,162.3825,0
2003253,-69.7824,162.3825,0
2003254,-69.7824,162.3825,0
2003255,-69.7824,162.3825,1
2003256,-69.7824,162.3825,1
2003257,-69.7824,162.3825,1
2003258,-69.7824,162.3825,1
2003259,-69.7824,162.3825,1
2003260,-69.7824,162.3825,1
2003261,-69.7824,162.3825,1
2003262,-69.7824,162.3825,1
2003263,-69.7824,162.3825,1
2003264,-69.7824,162.3825,1
2003265,-69.7824,162.3825,1
2003266,-69.7824,162.3825,1
2003267,-69.7824,162.3825,1
2003268,-69.7824,162.3825,1
2003269,-69.7824,162.3825,1
2003270,-69.7824,162.3825,1
2003271,-69.7824,162.3825,1
2003272,-69.7824,162.3825,1
2003273,-69.7824,162.3825,1
2003274,-69.7824,162.3825,1
2003275,-69.7824,162.3825,0
2003276,-69.7824,162.3825,1
2003277,-69.7824,162.3825,1
2003278,-69.7824,162.3825,1
2003279,-69.7824,162.3825,1
2003280,-69.7824,162.3825,1
2003281,-69.7824,162.3825,1
2003282,-69.7824,162.3825,1
2003283,-69.7824,162.3825,1
2003284,-69.7824,162.3825,1
2003285,-69.7824,162.3825,1
2003286,-69.7824,162.3825,1
2003287,-69.7824,162.3825,1
2003288,-69.7824,162.3825,1
2003289,-69.7824,162.3825,1
2003290,-69.7824,162.3825,1
2003291,-69.7824,162.3825,1
2003292,-69.7824,162.3825,1
2003293,-69.7824,162.3825,0
2003294,-69.7824,162.3825,1
2003295,-69.7824,162.3825,1
2003296,-69.7824,162.3825,1
2003297,-69.7824,162.3825,1
